cartodb_id,description,name,the_geom,latitude,longitude
246,This is Fresh Pond,Mike F.,0101000020E610000000000080B3C951C01D5E7EFE40314540,42.38479596,-71.15158081
247,Central Square Train Station,Mike F.,0101000020E610000000000040ABC651C08E096A5DC92E4540,42.36552017,-71.10420227
